country,party_id,year,party_name_short,party_name,rename,English name,leader_name,coalition,reason,party_in_title,movement,ideology,alliance,family_name,family_name_short,left_right,state_market,liberty_authority,exclude,democratization,foundation_year,id
CZE,2,2009,TOP09,Tradice Odpovědnost Prosperita 09,Tradice Odpovědnost Prosperita 09,Tradition Responsibility Prosperity 09,0,0,split from KDU-CSL,No party in title,No reference,Broad reference to values,0,Conservative,con,7.4,6.4,7,NA,IIIrd wave in EE,NA,1
CZE,2,2020,SPOLU,Spolu,Spolu,Together,0,1,alliance,No party in title,NA,broad reference,1,NA,NA,NA,NA,NA,NA,IIIrd wave in EE,NA,2
NLD,3,1948,KNP,Katholieke Nationale Partij,Katholieke Nationale Partij,Catholic National Party,0,0,split,Party in title,NA,social group,0,Christian democracy,chr,6.2,5.7,7.1,NA,Ist or IInd wave,NA,1
ROU,5,1991,PC,Partidul Conservator,Partidul Umanist Român,Romanian Humanist Party,0,0,foundation,Party in title,NA,conservative,0,Conservative,con,4.7622,4.7538,6.2778999999999998,NA,IIIrd wave in EE,1991,1
ROU,5,2005,PC,Partidul Conservator,Partidul Conservator,Conservative Party,0,0,renamed,Party in title,NA,conservative,0,Conservative,con,4.7622,4.7538,6.2778999999999998,NA,IIIrd wave in EE,1991,2
PRT,11,1978,APU,Aliança Povo Unido,Aliança Povo Unido,United People Alliance,0,1,alliance between PCP and MDP-CDE,No party in title,Alliance,Broad reference,1,Communist/Socialist,com,1.3,1.4,3,NA,IIIrd wave in SE,NA,1
PRT,11,1983,APU,Aliança Povo Unido,Aliança Povo Unido,United People Alliance,0,1,PEV joined,No party in title,Alliance,Broad reference,0,Communist/Socialist,com,1.3,1.4,3,1,IIIrd wave in SE,NA,2
SVN,16,1990,SLS,Slovenska ljudska stranka,Slovenska ljudska stranka,Slovenian People's Party,0,0,foundation,Party in title,NA,people's party,0,Christian democracy,chr,6.6952999999999996,5.0282,7.6299000000000001,NA,IIIrd wave in EE,1990,1
POL,18,1991,SoPr,Solidarność Pracy,Solidarność Pracy,Labour Solidarity,0,0,foundation,No party in title,No reference,labour,0,Social democracy,soc,3.3,NA,NA,NA,IIIrd wave in EE,1991,1
CZE,19,1990,HSD-SMS,Hnutí za samosprávnou demokracii – Společnost pro Moravu a Slezsko,Hnutí za samosprávnou demokracii – Společnost pro Moravu a Slezsko,Movement for Autonomous Democracy–Party for Moravia and Silesia,0,0,foundation,No party in title,Movement,democracy,0,Special issue,spec,NA,NA,NA,NA,IIIrd wave in EE,1990,1
SVK,20,2001,PSNS,Pravá Slovenská národná strana,Pravá Slovenská národná strana,True Slovak National Party,0,0,split from SNS,Party in title,NA,right,0,Right-wing,right,8.5,3.75,8.6199999999999992,NA,IIIrd wave in EE,NA,1
LTU,21,2011,LZP,Lietuvos žalioji partija,Lietuvos žalioji partija,Lithuanian Green Party,0,0,foundation,Party in title,NA,green,0,Green/Ecologist,eco,2.5,NA,NA,NA,IIIrd wave in EE,2011,1
